HCLk-010.kin - RawData;;;;;;;;;;;;;;;
Time ( Second );Abs.;;;;;;;;;;;;;;
224;1,1274;;;;;;;;;;;;;;
225;1,1246;;;;;;;;;;;;;;
226;1,1221;;;;;;;;;;;;;;
227;1,1193;;;;;;;;;;;;;;
228;1,1166;;;;;;;;;;;;;;
229;1,1139;;;;;;;;;;;;;;
230;1,1113;;;;;;;;;;;;;;
231;1,1087;;;;;;;;;;;;;;
232;1,1059;;;;;;;;;;;;;;
233;1,1033;;;;;;;;;;;;;;
234;1,1005;;;;;;;;;;;;;;
235;1,0978;;;;;;;;;;;;;;
236;1,0952;;;;;;;;;;;;;;
237;1,0926;;;;;;;;;;;;;;
238;1,0898;;;;;;;;;;;;;;
239;1,0873;;;;;;;;;;;;;;
240;1,0845;;;;;;;;;;;;;;
241;1,0818;;;;;;;;;;;;;;
242;1,0792;;;;;;;;;;;;;;
243;1,0766;;;;;;;;;;;;;;
244;1,0739;;;;;;;;;;;;;;
245;1,0712;;;;;;;;;;;;;;
246;1,0686;;;;;;;;;;;;;;
247;1,0659;;;;;;;;;;;;;;
248;1,0631;;;;;;;;;;;;;;
249;1,0606;;;;;;;;;;;;;;
250;1,0579;;;;;;;;;;;;;;
251;1,0553;;;;;;;;;;;;;;
252;1,0527;;;;;;;;;;;;;;
253;1,05;;;;;;;;;;;;;;
254;1,0473;;;;;;;;;;;;;;
255;1,0448;;;;;;;;;;;;;;
256;1,0423;;;;;;;;;;;;;;
257;1,0394;;;;;;;;;;;;;;
258;1,0367;;;;;;;;;;;;;;
259;1,034;;;;;;;;;;;;;;
260;1,0314;;;;;;;;;;;;;;
261;1,0287;;;;;;;;;;;;;;
262;1,026;;;;;;;;;;;;;;
263;1,0234;;;;;;;;;;;;;;
264;1,0207;;;;;;;;;;;;;;
265;1,0181;;;;;;;;;;;;;;
266;1,0154;;;;;;;;;;;;;;
267;1,0128;;;;;;;;;;;;;;
268;1,0101;;;;;;;;;;;;;;
269;1,0074;;;;;;;;;;;;;;
270;1,0047;;;;;;;;;;;;;;
271;1,0021;;;;;;;;;;;;;;
272;0,9996;;;;;;;;;;;;;;
273;0,9968;;;;;;;;;;;;;;
274;0,9943;;;;;;;;;;;;;;
275;0,9917;;;;;;;;;;;;;;
276;0,989;;;;;;;;;;;;;;
277;0,9863;;;;;;;;;;;;;;
278;0,9836;;;;;;;;;;;;;;
279;0,981;;;;;;;;;;;;;;
280;0,9785;;;;;;;;;;;;;;
281;0,9757;;;;;;;;;;;;;;
282;0,9731;;;;;;;;;;;;;;
283;0,9705;;;;;;;;;;;;;;
284;0,9677;;;;;;;;;;;;;;
285;0,9652;;;;;;;;;;;;;;
286;0,9625;;;;;;;;;;;;;;
287;0,9598;;;;;;;;;;;;;;
288;0,9573;;;;;;;;;;;;;;
289;0,9546;;;;;;;;;;;;;;
290;0,9519;;;;;;;;;;;;;;
291;0,9492;;;;;;;;;;;;;;
292;0,9466;;;;;;;;;;;;;;
293;0,9441;;;;;;;;;;;;;;
294;0,9413;;;;;;;;;;;;;;
295;0,9387;;;;;;;;;;;;;;
296;0,9361;;;;;;;;;;;;;;
297;0,9335;;;;;;;;;;;;;;
298;0,9308;;;;;;;;;;;;;;
299;0,9281;;;;;;;;;;;;;;
300;0,9255;;;;;;;;;;;;;;
