HCLk-011.kin - RawData;;;;;;;;;;;;;;;;;
Time ( Second );Abs.;;;;;;;;;;;;;;;;
180;2,631;;;;;;;;;;;;;;;;
181;2,6245;;;;;;;;;;;;;;;;
182;2,6229;;;;;;;;;;;;;;;;
183;2,6217;;;;;;;;;;;;;;;;
184;2,6162;;;;;;;;;;;;;;;;
185;2,6152;;;;;;;;;;;;;;;;
186;2,6117;;;;;;;;;;;;;;;;
187;2,6072;;;;;;;;;;;;;;;;
188;2,6037;;;;;;;;;;;;;;;;
189;2,5993;;;;;;;;;;;;;;;;
190;2,5971;;;;;;;;;;;;;;;;
191;2,5957;;;;;;;;;;;;;;;;
192;2,5928;;;;;;;;;;;;;;;;
193;2,5887;;;;;;;;;;;;;;;;
194;2,5868;;;;;;;;;;;;;;;;
195;2,5798;;;;;;;;;;;;;;;;
196;2,5771;;;;;;;;;;;;;;;;
197;2,5772;;;;;;;;;;;;;;;;
198;2,5734;;;;;;;;;;;;;;;;
199;2,5691;;;;;;;;;;;;;;;;
200;2,567;;;;;;;;;;;;;;;;
201;2,5644;;;;;;;;;;;;;;;;
202;2,5597;;;;;;;;;;;;;;;;
203;2,5578;;;;;;;;;;;;;;;;
204;2,5527;;;;;;;;;;;;;;;;
205;2,5496;;;;;;;;;;;;;;;;
206;2,549;;;;;;;;;;;;;;;;
207;2,5445;;;;;;;;;;;;;;;;
208;2,5407;;;;;;;;;;;;;;;;
209;2,5386;;;;;;;;;;;;;;;;
210;2,5336;;;;;;;;;;;;;;;;
211;2,5296;;;;;;;;;;;;;;;;
212;2,5269;;;;;;;;;;;;;;;;
213;2,5244;;;;;;;;;;;;;;;;
214;2,521;;;;;;;;;;;;;;;;
215;2,519;;;;;;;;;;;;;;;;
216;2,5162;;;;;;;;;;;;;;;;
217;2,5137;;;;;;;;;;;;;;;;
218;2,5066;;;;;;;;;;;;;;;;
219;2,5069;;;;;;;;;;;;;;;;
220;2,502;;;;;;;;;;;;;;;;
221;2,4999;;;;;;;;;;;;;;;;
222;2,4973;;;;;;;;;;;;;;;;
223;2,493;;;;;;;;;;;;;;;;
224;2,4892;;;;;;;;;;;;;;;;
225;2,485;;;;;;;;;;;;;;;;
226;2,4826;;;;;;;;;;;;;;;;
227;2,4788;;;;;;;;;;;;;;;;
228;2,4767;;;;;;;;;;;;;;;;
229;2,4738;;;;;;;;;;;;;;;;
230;2,4692;;;;;;;;;;;;;;;;
231;2,4681;;;;;;;;;;;;;;;;
232;2,4666;;;;;;;;;;;;;;;;
233;2,4624;;;;;;;;;;;;;;;;
234;2,459;;;;;;;;;;;;;;;;
235;2,4574;;;;;;;;;;;;;;;;
236;2,4551;;;;;;;;;;;;;;;;
237;2,4526;;;;;;;;;;;;;;;;
238;2,4485;;;;;;;;;;;;;;;;
239;2,4447;;;;;;;;;;;;;;;;
240;2,4407;;;;;;;;;;;;;;;;
241;2,4386;;;;;;;;;;;;;;;;
242;2,4359;;;;;;;;;;;;;;;;
243;2,4322;;;;;;;;;;;;;;;;
244;2,4308;;;;;;;;;;;;;;;;
245;2,4265;;;;;;;;;;;;;;;;
246;2,4249;;;;;;;;;;;;;;;;
247;2,4196;;;;;;;;;;;;;;;;
248;2,4175;;;;;;;;;;;;;;;;
249;2,414;;;;;;;;;;;;;;;;
250;2,4136;;;;;;;;;;;;;;;;
251;2,4099;;;;;;;;;;;;;;;;
252;2,4066;;;;;;;;;;;;;;;;
253;2,4022;;;;;;;;;;;;;;;;
254;2,3997;;;;;;;;;;;;;;;;
255;2,3963;;;;;;;;;;;;;;;;
256;2,3945;;;;;;;;;;;;;;;;
257;2,3914;;;;;;;;;;;;;;;;
258;2,3866;;;;;;;;;;;;;;;;
259;2,3863;;;;;;;;;;;;;;;;
260;2,3816;;;;;;;;;;;;;;;;
261;2,3779;;;;;;;;;;;;;;;;
262;2,3761;;;;;;;;;;;;;;;;
263;2,3739;;;;;;;;;;;;;;;;
264;2,3713;;;;;;;;;;;;;;;;
265;2,3669;;;;;;;;;;;;;;;;
266;2,3632;;;;;;;;;;;;;;;;
267;2,3596;;;;;;;;;;;;;;;;
268;2,3571;;;;;;;;;;;;;;;;
269;2,3552;;;;;;;;;;;;;;;;
270;2,3513;;;;;;;;;;;;;;;;
271;2,349;;;;;;;;;;;;;;;;
272;2,3468;;;;;;;;;;;;;;;;
273;2,342;;;;;;;;;;;;;;;;
274;2,3403;;;;;;;;;;;;;;;;
275;2,3367;;;;;;;;;;;;;;;;
276;2,3326;;;;;;;;;;;;;;;;
277;2,3319;;;;;;;;;;;;;;;;
278;2,3267;;;;;;;;;;;;;;;;
279;2,3229;;;;;;;;;;;;;;;;
280;2,3218;;;;;;;;;;;;;;;;
281;2,3182;;;;;;;;;;;;;;;;
282;2,3155;;;;;;;;;;;;;;;;
283;2,3134;;;;;;;;;;;;;;;;
284;2,3094;;;;;;;;;;;;;;;;
285;2,3063;;;;;;;;;;;;;;;;
286;2,3028;;;;;;;;;;;;;;;;
287;2,3016;;;;;;;;;;;;;;;;
288;2,2963;;;;;;;;;;;;;;;;
289;2,2927;;;;;;;;;;;;;;;;
290;2,29;;;;;;;;;;;;;;;;
291;2,2872;;;;;;;;;;;;;;;;
292;2,2853;;;;;;;;;;;;;;;;
293;2,2824;;;;;;;;;;;;;;;;
294;2,2787;;;;;;;;;;;;;;;;
295;2,2748;;;;;;;;;;;;;;;;
296;2,2731;;;;;;;;;;;;;;;;
297;2,2692;;;;;;;;;;;;;;;;
298;2,2664;;;;;;;;;;;;;;;;
299;2,2645;;;;;;;;;;;;;;;;
300;2,2608;;;;;;;;;;;;;;;;
