HCLk-014.kin - RawData;;;;;;;;;;;;;;;;
Time ( Second );Abs.;;;;;;;;;;;;;;;
210;2,5546;;;;;;;;;;;;;;;
211;2,5477;;;;;;;;;;;;;;;
212;2,546;;;;;;;;;;;;;;;
213;2,5407;;;;;;;;;;;;;;;
214;2,5416;;;;;;;;;;;;;;;
215;2,5337;;;;;;;;;;;;;;;
216;2,5319;;;;;;;;;;;;;;;
217;2,5302;;;;;;;;;;;;;;;
218;2,5249;;;;;;;;;;;;;;;
219;2,5227;;;;;;;;;;;;;;;
220;2,5177;;;;;;;;;;;;;;;
221;2,5155;;;;;;;;;;;;;;;
222;2,5126;;;;;;;;;;;;;;;
223;2,5075;;;;;;;;;;;;;;;
224;2,5057;;;;;;;;;;;;;;;
225;2,499;;;;;;;;;;;;;;;
226;2,4976;;;;;;;;;;;;;;;
227;2,4947;;;;;;;;;;;;;;;
228;2,4917;;;;;;;;;;;;;;;
229;2,4886;;;;;;;;;;;;;;;
230;2,4837;;;;;;;;;;;;;;;
231;2,4802;;;;;;;;;;;;;;;
232;2,4756;;;;;;;;;;;;;;;
233;2,4729;;;;;;;;;;;;;;;
234;2,4704;;;;;;;;;;;;;;;
235;2,4664;;;;;;;;;;;;;;;
236;2,4626;;;;;;;;;;;;;;;
237;2,4592;;;;;;;;;;;;;;;
238;2,4557;;;;;;;;;;;;;;;
239;2,4531;;;;;;;;;;;;;;;
240;2,4505;;;;;;;;;;;;;;;
241;2,4439;;;;;;;;;;;;;;;
242;2,4455;;;;;;;;;;;;;;;
243;2,4398;;;;;;;;;;;;;;;
244;2,4362;;;;;;;;;;;;;;;
245;2,4313;;;;;;;;;;;;;;;
246;2,4272;;;;;;;;;;;;;;;
247;2,4254;;;;;;;;;;;;;;;
248;2,4225;;;;;;;;;;;;;;;
249;2,416;;;;;;;;;;;;;;;
250;2,4164;;;;;;;;;;;;;;;
251;2,4127;;;;;;;;;;;;;;;
252;2,4089;;;;;;;;;;;;;;;
253;2,4069;;;;;;;;;;;;;;;
254;2,4014;;;;;;;;;;;;;;;
255;2,3972;;;;;;;;;;;;;;;
256;2,3942;;;;;;;;;;;;;;;
257;2,3901;;;;;;;;;;;;;;;
258;2,387;;;;;;;;;;;;;;;
259;2,3849;;;;;;;;;;;;;;;
260;2,3821;;;;;;;;;;;;;;;
261;2,3772;;;;;;;;;;;;;;;
262;2,3728;;;;;;;;;;;;;;;
263;2,3711;;;;;;;;;;;;;;;
264;2,3678;;;;;;;;;;;;;;;
265;2,3645;;;;;;;;;;;;;;;
266;2,3607;;;;;;;;;;;;;;;
267;2,3581;;;;;;;;;;;;;;;
268;2,3529;;;;;;;;;;;;;;;
269;2,3499;;;;;;;;;;;;;;;
270;2,3468;;;;;;;;;;;;;;;
271;2,3421;;;;;;;;;;;;;;;
272;2,3396;;;;;;;;;;;;;;;
273;2,3366;;;;;;;;;;;;;;;
274;2,3322;;;;;;;;;;;;;;;
275;2,3286;;;;;;;;;;;;;;;
276;2,3259;;;;;;;;;;;;;;;
277;2,3227;;;;;;;;;;;;;;;
278;2,3194;;;;;;;;;;;;;;;
279;2,315;;;;;;;;;;;;;;;
280;2,3106;;;;;;;;;;;;;;;
281;2,3086;;;;;;;;;;;;;;;
282;2,306;;;;;;;;;;;;;;;
283;2,3003;;;;;;;;;;;;;;;
284;2,2977;;;;;;;;;;;;;;;
285;2,294;;;;;;;;;;;;;;;
286;2,2914;;;;;;;;;;;;;;;
287;2,2876;;;;;;;;;;;;;;;
288;2,2841;;;;;;;;;;;;;;;
