HCLk-015.kin - RawData;;;;;;;;;;;;;;;
Time ( Second );Abs.;;;;;;;;;;;;;;
219;2,2402;;;;;;;;;;;;;;
220;2,2366;;;;;;;;;;;;;;
221;2,2311;;;;;;;;;;;;;;
222;2,228;;;;;;;;;;;;;;
223;2,2225;;;;;;;;;;;;;;
224;2,2165;;;;;;;;;;;;;;
225;2,2105;;;;;;;;;;;;;;
226;2,2078;;;;;;;;;;;;;;
227;2,2019;;;;;;;;;;;;;;
228;2,1959;;;;;;;;;;;;;;
229;2,1921;;;;;;;;;;;;;;
230;2,1856;;;;;;;;;;;;;;
231;2,1819;;;;;;;;;;;;;;
232;2,1776;;;;;;;;;;;;;;
233;2,173;;;;;;;;;;;;;;
234;2,1683;;;;;;;;;;;;;;
235;2,1628;;;;;;;;;;;;;;
236;2,1586;;;;;;;;;;;;;;
237;2,153;;;;;;;;;;;;;;
238;2,1487;;;;;;;;;;;;;;
239;2,1434;;;;;;;;;;;;;;
240;2,1388;;;;;;;;;;;;;;
241;2,1337;;;;;;;;;;;;;;
242;2,1275;;;;;;;;;;;;;;
243;2,1237;;;;;;;;;;;;;;
244;2,1192;;;;;;;;;;;;;;
245;2,1139;;;;;;;;;;;;;;
246;2,1086;;;;;;;;;;;;;;
247;2,1044;;;;;;;;;;;;;;
248;2,0987;;;;;;;;;;;;;;
249;2,0948;;;;;;;;;;;;;;
250;2,0887;;;;;;;;;;;;;;
251;2,084;;;;;;;;;;;;;;
252;2,0794;;;;;;;;;;;;;;
253;2,0747;;;;;;;;;;;;;;
254;2,0702;;;;;;;;;;;;;;
255;2,0648;;;;;;;;;;;;;;
256;2,0602;;;;;;;;;;;;;;
257;2,0561;;;;;;;;;;;;;;
258;2,0509;;;;;;;;;;;;;;
259;2,0458;;;;;;;;;;;;;;
260;2,04;;;;;;;;;;;;;;
261;2,0354;;;;;;;;;;;;;;
262;2,031;;;;;;;;;;;;;;
263;2,0252;;;;;;;;;;;;;;
264;2,0215;;;;;;;;;;;;;;
265;2,0168;;;;;;;;;;;;;;
266;2,0115;;;;;;;;;;;;;;
267;2,0068;;;;;;;;;;;;;;
268;2,0018;;;;;;;;;;;;;;
269;1,9972;;;;;;;;;;;;;;
270;1,9917;;;;;;;;;;;;;;
271;1,988;;;;;;;;;;;;;;
272;1,9823;;;;;;;;;;;;;;
273;1,9778;;;;;;;;;;;;;;
274;1,9728;;;;;;;;;;;;;;
275;1,9679;;;;;;;;;;;;;;
276;1,9634;;;;;;;;;;;;;;
277;1,9579;;;;;;;;;;;;;;
278;1,9531;;;;;;;;;;;;;;
279;1,9484;;;;;;;;;;;;;;
280;1,9434;;;;;;;;;;;;;;
281;1,9383;;;;;;;;;;;;;;
282;1,9335;;;;;;;;;;;;;;
283;1,9291;;;;;;;;;;;;;;
284;1,9241;;;;;;;;;;;;;;
285;1,92;;;;;;;;;;;;;;
286;1,9147;;;;;;;;;;;;;;
287;1,9096;;;;;;;;;;;;;;
288;1,9053;;;;;;;;;;;;;;
289;1,9003;;;;;;;;;;;;;;
290;1,8959;;;;;;;;;;;;;;
291;1,8907;;;;;;;;;;;;;;
292;1,8857;;;;;;;;;;;;;;
293;1,8806;;;;;;;;;;;;;;
294;1,8766;;;;;;;;;;;;;;
295;1,8717;;;;;;;;;;;;;;
296;1,8669;;;;;;;;;;;;;;
297;1,8619;;;;;;;;;;;;;;
298;1,8575;;;;;;;;;;;;;;
299;1,8524;;;;;;;;;;;;;;
300;1,8476;;;;;;;;;;;;;;
